Applause	2006	canvas	
Barcode	2004	canvas	
Because I'm Worthless	2004	canvas	
Blinded Napoleon	2018	spray_paint	
Bomb Hugger	2003	canvas	
Bomb Hugger	2003	spray_paint	
Bomb Middle England	2003	canvas	
Box Cutter Rat	2018	spray_paint	
Bronx Zoo	2013	spray_paint	
Bubble Slide Girl	2008	spray_paint	
CND Soldiers	2005	canvas	
Cash Machine Girl	2007	spray_paint	
Child Soldier	2011	spray_paint	
Choose Your Weapon	2002	spray_paint	
Choose Your Weapon	2010	spray_paint	
Choose Your Weapon	2002	canvas	
Choose Your Weapon	2010	canvas	
Christ with Shopping Bags	2004	canvas	
Civilian Drone STrike	2017	canvas	
Di Faced Tenners	2004	canvas	
Donuts	2009	canvas	
Dumbo	2014	canvas	
Festival	2006	canvas	
Flags	2006	canvas	
Flying Copper	2003	canvas	
Follow your Dreams - Canceled	2011	spray_paint	
Gangsta Rat	2006	spray_paint	
Gangsta Rat	2004	spray_paint	
Gangsta Rat	2006	canvas	
Gangsta Rat	2004	canvas	
Get Out While You Can	2004	canvas	
Girl With Balloon	2004	canvas	
Girl with Balloon	2002	spray_paint	
Go FLock Yourself	2018	spray_paint	
Golf Sale	2003	canvas	
Gorilla Artist	2008	spray_paint	
Graffiti Is A Crime	2013	spray_paint	
Graffiti is a Crime	2013	spray_paint	
Grannies	2006	canvas	
Grim Reaper	2005	canvas	
HMV	2003	canvas	
Hammer Boy	2013	spray_paint	
Happy Choppers	2003	canvas	
I Fought The Law	2004	canvas	
I want change	2015	spray_paint	
Injured Buddha	2008	spray_paint	
Interest in People	2010	spray_paint	
Israeli-Palestinian Pillow Fight	2017	canvas	
Jack & Jill	2005	canvas	
Javelin Thrower	2012	spray_paint	
Kate Moss	2005	canvas	
Keep your Coins, I want Change	2004	spray_paint	
Laugh Now	2003	canvas	
Looting Soldier	2007	spray_paint	
Love Hurts	2012	canvas	
Love Is In The Air	2003	canvas	
Love Is In The Air (CCCP)	2001	canvas	
Love Rat	2004	canvas	
Monkey Queen	2003	canvas	
NOLA	2008	canvas	
Napalm	2004	canvas	
Pulp Fiction	2004	canvas	
Queen Victoria	2003	canvas	
Seal Mural	2018	spray_paint	
Season's Greetings	2018	spray_paint	
Security Guard with Pink Balloon	2010	spray_paint	
Snorting Copper	2005	spray_paint	
Stop and Search	2007	spray_paint	
Sweep it Under the Carpet	2006	spray_paint	
Swing Girl	2010	spray_paint	
Take this Society	2011	spray_paint	
Tap Phoned	2011	spray_paint	
The Mild Mild West	1999	spray_paint	
Thug for Life Bunny	2009	spray_paint	
Trolleys	2007	canvas	
Turf War	2003	canvas	
Well, Hung Lover	2006	spray_paint	